<b> What does this code output?</b><br><br>`echo 76 <=> '76 trombones';`<br><br><ul><li>1</li><li>-1</li><li>a parser error</li><li>0</li></ul>,"0<br><br>**_Both sides of the ""spaceship"" are equal, so the answer is 0. PHP will convert '76 trombones' to 76 in this context, as the string starts with '76'. Try it!_**<br>**_For php 8.0 and forward the answer is [x] -1, for previous versions the answer is [x] 0._**<br>"
"<b> Which is the most secure way to avoid storing a password in clear text in database?</b><br><ul><li>`$encrypted = shal($password);`</li><li>`$encrypted = crypt($password, \$salt);`</li><li>`$encrypted = md5($password);`</li><li>`$encrypted = password_hash($password, PASSWORD_DEFAULT);`</li></ul>","`$encrypted = password_hash($password, PASSWORD_DEFAULT);`"
"<b> What does this script do?</b><br><br>```php<br>$email = filter_input(INPUT_POST, 'email', FILTER_VALIDATE_EMAIL);<br>if ($email === false) {<br>$emailErr = ""Please re-enter valid email"";<br>}<br>```<br><br><ul><li>It makes sure the email address is a good and functioning address</li><li>It makes an email safe to input into a database</li><li>It assigns an email to a variable and then removes all illegal characters from the \$email variable</li><li>It verifies that an email address is well formed.</li></ul>",It verifies that an email address is well formed.
"<b> In the following script, which line(s) will cause an error(s)?</b><br><br>```<br>1 <?php<br>2       $count = 0;<br>3       $_xval = 5;<br>4       $_yval = 1.0;<br>5       $some_string = ""Hello there!"";<br>6       $some_string = ""How are you?"";<br>7       $will i work = 6;<br>8       $3blindmice = 3;<br>9 ?><br>```<br><br><ul><li>Line 6 will cause an error because you can't reassign a new value to a variable that has already been set.</li><li>Line 7 and 8 will cause an error. Line 7 has whitespace in $will i work and should be $will_i_work. Line 8 cannot start with a number befcause it is a variable.</li><li>Line 5 will cause an error because some_string should be someString.</li><li>Line 3 and 4 will cause an error because a variable cannot start with an underscore(\_).</li></ul>",Line 7 and 8 will cause an error. Line 7 has whitespace in $will i work and should be $will_i_work. Line 8 cannot start with a number befcause it is a variable.
"<b> In a conditional statement, you want to execute the code only if both value are true. Which comparison operator should you use?</b><br><ul><li>||</li><li>&</li><li><=></li><li>&&</li></ul>",&&
<b> All variables in PHP start with which symbol?</b><br><ul><li>&</li><li>%</li><li>\_</li><li>$</li></ul>,$
"<b> What is a key difference between GET and POST?</b><br><ul><li>GET is used with the HTTP protocol. POST is used with HTTPS.</li><li>GET displays the submitted data as part of the URL. During POST, this information is not shown, as it's encoded in the request body.</li><li>GET is intended for changing the server state and it carries more data than POST.</li><li>GET is more secure than POST and should be used for sensitive information.</li></ul>","GET displays the submitted data as part of the URL. During POST, this information is not shown, as it's encoded in the request body."
"<b> The ** operator is useful for sorting operations. It compares two values and returns an integer less than, equal to, or greater than </b><br><ul><li>greater-than; right</li><li>spaceship; left</li><li>equality; right</li><li>comparison; left</li></ul>",spaceship; left
"<b> Which are valid PHP error handling keywords?</b><br><ul><li>try, throw, catch, callable</li><li>try, yield, catch, finally</li><li>yield, throw, catch, finally</li><li>try, throw, catch, finally</li></ul>","try, throw, catch, finally"
<b> Which value equates to true?</b><br><ul><li>0</li><li>NULL</li><li>''</li><li>-1</li></ul>,-1
"<b> What is missing from this code, which is supposed to create a test cookies?</b><br><br>```php<br>1 $string_name = ""testcookie"";<br>2 $string_value = ""This is a test cookie"";<br>3 $expiry_info = info()+259200;<br>4 $string_domain = ""localhost.localdomain"";<br>```<br><br><ul><li>The `$_REQUEST` is missing.</li><li>The `$_COOKIES` array is missing.</li><li>The cookie session is missing.</li><li>The call to `setcookie()` is missing.</li></ul>",The call to `setcookie()` is missing.
<b> What is the value of \$total in this calculation?</b><br><br>`$total = 2 + 5 * 20 - 6 / 3`<br><br><ul><li>44</li><li>138</li><li>126</li><li>100</li></ul>,100
