"<b> What type of relationship is defined as one resource existing only if another parent resource exist-for example, pages in a book?</b><br><ul><li>`Partial`</li><li>`dependent`</li><li>`associative`</li><li>`linked`</li></ul>",`dependent`
<b> Which URL pattern is recommended when working with one resource and a collection of resources?</b><br><ul><li>`/companies/{id} and/company`</li><li>`/company/{id} and/companies`</li><li>`/companies/{id} and/companies`</li><li>`/company/{id} and/company`</li></ul>,`/companies/{id} and/companies`
"<b> When dealing with JSON web Tokens (JWTs), what is a claim?</b><br><ul><li>`data in the token`</li><li>`Ownership`</li><li>`a permission`</li><li>`and integer`</li></ul>",`data in the token`
<b> Which REST constraint specifies that knowledge and understanding obtained from one component of the API should be generally applicable elsewhere in the API?</b><br><ul><li>`Uniform Interface`</li><li>`Client-Server`</li><li>`Stateless`</li><li>`Chacheable`</li></ul>,`Uniform Interface`
<b> What would you enable to allow a browser on another site to make an AJAX request to your API?</b><br><ul><li>`HTTP`</li><li>`REST`</li><li>`OPTIONS`</li><li>`CORS`</li></ul>,`CORS`
<b> APIs commonly use webhooks to **\_**.</b><br><ul><li>`notify other systems of an event`</li><li>`catch error faster`</li><li>`improve error logging`</li><li>`log additional data`</li></ul>,`notify other systems of an event`
<b> What is the underlying goal of all APIs?</b><br><ul><li>`to add new technologies to an organization's infrastructure.`</li><li>`to share features and functionality with other system.`</li><li>`to move infrastructure to the cloud.`</li><li>`to appease the latest digital transformation effort.`</li></ul>,`to share features and functionality with other system.`
<b> Which is a common command-line tool for using or exploring an API?</b><br><ul><li>`bash`</li><li>`curl`</li><li>`ssh`</li><li>`powerShell`</li></ul>,`curl`
<b> What is the modern specification for describing an API?</b><br><ul><li>`OpenAPI (Swagger)`</li><li>`WADL`</li><li>`WSDL`</li><li>`OAuth`</li></ul>,`OpenAPI (Swagger)`<br><br>[OpenAPI Specification](https://swagger.io/specification/)<br>
<b> Which HTTP verb is normally used to update or create a resource in an API?</b><br><ul><li>`SUBMIT`</li><li>`WRITE`</li><li>`POST`</li><li>`CREATE`</li></ul>,`POST`<br><br>[HTTP request methods](https://developer.mozilla.org/en-US/docs/Web/HTTP/Methods)<br>
<b> What is one benefit of server-side caching in APIs?</b><br><ul><li>`Mobile app work better.`</li><li>`It improves uptime.`</li><li>`It offers better security.`</li><li>`It reduce load on servers.`</li></ul>,`It reduce load on servers.`
