"<b> Which image matches the flex layout defined in this style rule?</b><br><br>```css<br>.container {<br>display: flex;<br>}<br>.container div:last-child {<br>margin-left: auto;<br>}<br>```<br><br><ul><li><img src=""front-end-development-quiz_Q1-A""></li><li><img src=""front-end-development-quiz_Q1-B""></li><li><img src=""front-end-development-quiz_Q1-C""></li><li><img src=""front-end-development-quiz_Q1-D""></li></ul>","<img src=""front-end-development-quiz_Q1-B""><br><br>[Sample](https://jsfiddle.net/mrvahid/zohd8k2n/)<br>"
<b> Variables declared with the let keyword have what type of scope?</b><br><ul><li>function scope</li><li>block scope</li><li>inline scope</li><li>global scope</li></ul>,block scope
<b> Why would you surround a piece of text with `<h</b><br><ul><li>to indicate that this text is the main heading on the page</li><li>to make the text bold</li><li>to ensure that search engines treat the keywords as being important for this page</li><li>to demonstrate to screen readers that this text is important</li></ul>,to indicate that this text is the main heading on the page
<b> When might an empty alt attribute be the correct value?</b><br><ul><li>when you cannot think of useful alt text</li><li>when you don't think it would be interesting to someone who cannot see it</li><li>when the image has come from a CMS</li><li>when the image is purely decorative</li></ul>,when the image is purely decorative
<b> Which attribute must have a unique value each time it is used in an HTML document?</b><br><ul><li>title</li><li>class</li><li>style</li><li>id</li></ul>,id
<b> Which CSS property will not trigger layout recalculation?</b><br><ul><li>top</li><li>opacity</li><li>width</li><li>height</li></ul>,opacity
"<b> What will be the value of selected?</b><br><br>```javascript<br>let pocket = ['turnip', 'stone', 'log', 'apple'];<br>let selected = pocket[1];<br>```<br><br><ul><li>log</li><li>apple</li><li>stone</li><li>turnip</li></ul>",stone
<b> What does the `===` comparison operator do?</b><br><ul><li>It sets one variable equal to another in both value and type</li><li>It tests for equality of type only</li><li>It tests for equality of value only</li><li>It tests for equality of value and type</li></ul>,It tests for equality of value and type
"<b> In the following code, the variable `fruit` has been assigned a value of apple. How would you change the value to plum?</b><br><br>```javascript<br>let fruit = 'apple';<br>```<br><br><ul><li>`let fruit = 'plum'`</li><li>`var fruit = 'plum'`</li><li>`const fruit = 'plum'`</li><li>`fruit = 'plum'`</li></ul>",`fruit = 'plum'`
<b> What is the `<label>` element used for?</b><br><ul><li>to identify the difference parts of a figure</li><li>to explain what needs to be entered into a form field</li><li>as a caption for images</li><li>as a heading for tables</li></ul>,to explain what needs to be entered into a form field
<b> The browser finds some CSS that it does not understand. What is likely happen?</b><br><ul><li>The page will not display</li><li>An error message will be displayed</li><li>The browser will not load the stylesheet</li><li>The browser will ignore the unknown CSS</li></ul>,The browser will ignore the unknown CSS
