"<b> In WordPress, what is the Loop used to do?</b><br><ul><li>It displays a single page.</li><li>It displays posts on an archive.</li><li>It displays a single post.</li><li>all of these answers</li></ul>",all of these answers
<b> Who owns the trademark for WordPress and WordCamp names and logos?</b><br><ul><li>WordPress Foundation (The WordPress Foundation owns and oversees the trademarks for the WordPress and WordCamp names and logos.)</li><li>WordPress.com</li><li>Matt Mullenweg</li><li>Automattic</li></ul>,WordPress Foundation (The WordPress Foundation owns and oversees the trademarks for the WordPress and WordCamp names and logos.)
<b> What is the name of the open-source project that serves as a bug tracker and project management tool for WordPress?</b><br><ul><li>HackerOne</li><li>Redmine</li><li>Trac</li><li>GitHub Issues</li></ul>,Trac
<b> The REST API is a simple way to get data in and out of WordPress over HTTP. Applications using the REST API should be written in which programming language?</b><br><ul><li>PHP</li><li>any programming language that can make HTTP requests and interpret JSON</li><li>Java</li><li>Node.js</li></ul>,any programming language that can make HTTP requests and interpret JSON
"<b> How many minutes does it take to install WordPress according to the ""Famous X-Minute Installation"" instructions on WordPress.org?</b><br><ul><li>5</li><li>30</li><li>15</li><li>10</li></ul>",5
"<b> In WordPress, what is true of plugins?</b><br><ul><li>Plugins are available in free or premium (paid) versions.</li><li>Plugins can extend WordPress core functionality.</li><li>all of these answers</li><li>Plugins add site-specific features.</li></ul>",all of these answers
<b> Akismet is a plugin that comes automatically installed with WordPress. What does it do?</b><br><ul><li>It connects your site to Google Analytics.</li><li>It displays a blog feed from websites similar to yours.</li><li>It protects your site from comment spam.</li><li>It hardens site security by enforcing strong passwords.</li></ul>,It protects your site from comment spam.
<b> What would you do to improve your site's performance?</b><br><ul><li>Only load scripts and styles on pages where they are needed.</li><li>Minify CSS and JavaScript files.</li><li>all of these answers</li><li>Use a CDN.</li></ul>,all of these answers
<b> The REST API utilizes which data format?</b><br><ul><li>YAML</li><li>JSON</li><li>TXT</li><li>XML</li></ul>,JSON
<b> What color is the paragraph nested within the div?</b><br><br>```<html><br><head><br><style><br>body { color: black; }<br>p { color: blue; }<br>div { color: green; }<br>p { color: red; }<br></style><br></head><br><body><br><div><br><p>This is a paragraph inside a div.</p><br></div><br></body><br></html><br>```<br><br><ul><li>blue</li><li>black</li><li>red</li><li>green</li></ul>,red
"<b> Theme developers can take advantage of the Customizer API to give users a way to manipulate basic theme settings. The Customizer API is object-oriented and provides four main objects. What are they?</b><br><ul><li>widgets, containers, sections, settings</li><li>containers, hooks, settings, styles</li><li>panels, blocks, controls, settings</li><li>panels, sections, controls, settings</li></ul>","panels, sections, controls, settings"
<b> Which WordPress setting would you use to make page URLs look like `http://example.com/my-page/` instead of the default `http://example.com/?p=</b><br><ul><li>Writing</li><li>Permalinks</li><li>Pretty URLs</li><li>Reading</li></ul>,Permalinks
"<b> In WordPress, what is the block editor used for?</b><br><ul><li>cropping images in the media library</li><li>injecting specialized scripts into the content area</li><li>creating a site layout</li><li>creating and laying out content</li></ul>",creating and laying out content
<b> Which of the following file types is NOT involved in translating WordPress?</b><br><ul><li>.po</li><li>.pot</li><li>.mot</li><li>.mo</li></ul>,.pot
<b> What is the default priority for an action hook or filter?</b><br><ul><li>10</li><li>15</li><li>0</li><li>5</li></ul>,10
<b> What's the primary difference between template tags prefaced with the **versus get_the**?</b><br><ul><li>Template tags prefaced with the \_ don't accept arguments.</li><li>Template tags prefaced with the \_ can be used directly within a template.</li><li>Template tags prefaced with the \_ display a value. Template tags prefaced with get_the return a value.</li><li>Template tags prefaced with the \_ return a value. Template tags prefaced with get_the display a value.</li></ul>,Template tags prefaced with the \_ display a value. Template tags prefaced with get_the return a value.
<b> WP_Query is the WordPress query class that is used to fetch posts from the database. How would you create a new instance of this class?</b><br><ul><li>`$query = new query_posts();`</li><li>`$query = new WP_Query();`</li><li>`$query = query_posts();`</li><li>`$query = get_posts();`</li></ul>,`$query = new WP_Query();`
<b> What is a user role that is unique to WordPress Multisite?</b><br><ul><li>MU Admin</li><li>Owner</li><li>Super Admin</li><li>Multisite Master</li></ul>,Super Admin
"<b> Within the editor, blocks are rendered as JavaScript. How are blocks rendered on the front end of a site?</b><br><ul><li>as plain HTML</li><li>as a React component</li><li>as JavaScript comments</li><li>as HTML comments</li></ul>",as a React component
