"<b> When a javaScript function is invoked (called) in Node, where is a new frame placed?</b><br><ul><li>the call stack</li><li>the event loop</li><li>the poll phase</li><li>the events queue</li></ul>","the call stack<br><br>**Explanation:** From javascripttutorial: [reference](https://www.javascripttutorial.net/javascript-call-stack/#:~:text=If%20a%20function%20calls%20another,top%20of%20the%20call%20stack.)<br>"
<b> Which of the following is a core module in Node?</b><br><ul><li>webpack</li><li>crypto</li><li>request</li><li>chalk</li></ul>,crypto<br><br>**Explanation:** From flaviocopes docs: [reference](https://flaviocopes.com/node-core-modules/)<br>
<b> Which of the following Buffer class methods returns an uninitialized buffer?</b><br><ul><li>allocUnsafe</li><li>concat</li><li>from</li><li>alloc</li></ul>,allocUnsafe<br><br>**Explanation:** From official docs: [reference](https://nodejs.org/dist/latest-v13.x/docs/api/buffer.html#buffer_class_method_buffer_allocunsafe_size)<br>
<b> Which of the following modules is NOT a built-in module in Node?</b><br><ul><li>ftp</li><li>events</li><li>dgram</li><li>http2</li></ul>,ftp<br><br>**Explanation:** From flaviocopes docs: [reference](https://flaviocopes.com/node-core-modules/)<br>
<b> Which fs module method can be used to read the content of a file without buffering it in memory?</b><br><ul><li>read</li><li>readFile</li><li>createReadStream</li><li>readFileSync</li></ul>,"createReadStream<br><br>**Explanation:** _From official docs: [reference](https://nodejs.org/api/fs.html#fscreatereadstreampath-options)<br>To minimize memory costs, when possible prefer streaming via fs.createReadStream()._<br>"
<b> Which of the following DNS module methods uses the underlying OS facilities and does not necessarily perform any network communication?</b><br><ul><li>lookup</li><li>resolve</li><li>resolve4</li><li>reverse</li></ul>,lookup<br><br>**Explanation:** From official docs: [reference](https://nodejs.org/api/dns.html#dns_dns_lookup_hostname_options_callback)<br>
<b> How do you check that a value is a date object in Node?</b><br><ul><li>util.types.isDate(value)</li><li>assert.isDate(value)</li><li>console.isDate(value)</li><li>util.date(value)</li></ul>,util.types.isDate(value)<br><br>**Explanation:** From official docs: [reference](https://nodejs.org/api/util.html#util_util_types_isdate_value)<br>
"<b> Can you create an https web server with Node.js?</b><br><ul><li>no, there are no modules supporting it yet</li><li>yes, with the https or http2 modules</li><li>yes, through the path module</li><li>yes, with the http module</li></ul>","yes, with the https or http2 modules<br><br>**Explanation:** From official docs: [reference](https://nodejs.dev/learn/making-http-requests-with-nodejs)<br>"
<b> What is the Api that is designed to insulate Addons from changes in the underlying JavaScript engine?</b><br><ul><li>A-API</li><li>Z-API</li><li>N-API</li><li>X-API</li></ul>,N-API<br><br>**Explanation:** From official docs: [reference](https://nodejs.org/api/n-api.html#n_api_node_api)<br>
<b> Which CLI option can you use to debug a node script in Chrome DevTools?</b><br><ul><li>--dev-tools</li><li>--inspect</li><li>--chrome</li><li>--debug</li></ul>,--inspect<br><br>**Explanation:** From official docs: [reference](https://nodejs.org/en/docs/guides/debugging-getting-started/)<br>
