"<b> To cache your entire site for an application in Django, you add all except which of these settings?</b><br><ul><li>django.middleware.common.CommonMiddleware</li><li>django.middleware.cache.UpdateCacheMiddleware</li><li>django.middleware.cache.FetchFromCacheMiddleware</li><li>django.middleware.cache.AcceleratedCacheMiddleware</li></ul>",django.middleware.cache.AcceleratedCacheMiddleware
<b> In which programming language is Django written?</b><br><ul><li>C++</li><li>Java</li><li>Python</li><li>Ruby</li></ul>,Python
"<b> To automatically provide a value for a field, or to do validation that requires access to more than a single field, you should override the `___` method in the `___` class.</b><br><ul><li>validate(); Model</li><li>group(); Model</li><li>validate(); Form</li><li>clean(); Field</li></ul>",clean(); Field
"<b> A client wants their site to be able to load ""Rick & Morty"" episodes by number or by title—e.g., shows/</b><br><ul><li><span>```<br>url(r'shows/<int:season>/<int:episode>/', views.episode_number),<br>url(r'shows/<slug:episode_name>/', views.episode_name)<br>```<br></li><li><span>```<br>path('shows/<int:season>/<int:episode>/', views.episode_number),<br>path(r'shows/<slug:episode_name>/', views.episode_name)<br>```<br></li><li><span>```<br>path('shows/<int:season>/<int:episode>', views.episode_number),<br>path(r'shows/<slug:episode_name>/', views.episode_number)<br>```<br></li><li><span>```<br>url(r'^show/(?P<season>[0-9]+)/(?P<episode>[0-9]+)/$', views.episode_number),<br>url(r'^show/(?P<episode_name>[\w-]+)/', views.episode_name<br>```<br></li></ul>","<span>```<br>path('shows/<int:season>/<int:episode>/', views.episode_number),<br>path(r'shows/<slug:episode_name>/', views.episode_name)<br>```<br>"
<b> How do you determine at startup time if a piece of middleware should be used?</b><br><ul><li>Raise MiddlewareNotUsed in the **init** function of your middleware.</li><li>Implement the not_used method in your middleware class.</li><li>List the middleware beneath an entry of django.middleware.IgnoredMiddleware.</li><li>Write code to remove the middleware from the settings in [app]/**init**.py.</li></ul>,Raise MiddlewareNotUsed in the **init** function of your middleware.
<b> How do you turn off Django’s automatic HTML escaping for part of a web page?</b><br><ul><li>Place that section between paragraph tags containing the autoescape=off switch.</li><li>Wrap that section between { percentage mark autoescape off percentage mark} and {percentage mark endautoescape percentage mark} tags.</li><li>Wrap that section between {percentage mark autoescapeoff percentage mark} and {percentage mark endautoescapeoff percentage mark} tags.</li><li>You don't need to do anything—autoescaping is off by default.</li></ul>,You don't need to do anything—autoescaping is off by default.
"<b> Which step would NOT help you troubleshoot the error ""django-admin: command not found""?</b><br><ul><li>Check that the bin folder inside your Django directory is on your system path.</li><li>Make sure you have activated the virtual environment you have set up containing Django.</li><li>Check that you have installed Django.</li><li>Make sure that you have created a Django project.</li></ul>",Make sure that you have created a Django project.
"<b> Every time a user is saved, their quiz_score needs to be recalculated. Where might be an ideal place to add this logic?</b><br><ul><li>template</li><li>model</li><li>database</li><li>view</li></ul>",model
"<b> What is the correct way to begin a class called ""Rainbow"" in Python?</b><br><ul><li>Rainbow {}</li><li>export Rainbow:</li><li>class Rainbow:</li><li>def Rainbow:</li></ul>",class Rainbow:
<b> You have inherited a Django project and need to get it running locally. It comes with a requirements.txt file containing all its dependencies. Which command should you use?</b><br><ul><li>django-admin startproject requirements.txt</li><li>python install -r requirements.txt</li><li>pip install -r requirements.txt</li><li>pip install Django</li></ul>,pip install -r requirements.txt
"<b> Which best practice is NOT relevant to migrations?</b><br><ul><li>To make sure that your migrations are up to date, you should run updatemigrations before running your tests.</li><li>You should back up your production database before running a migration.</li><li>Your migration code should be under source control.</li><li>If a project has a lot of data, you should test against a staging copy before running the migration on production.</li></ul>","To make sure that your migrations are up to date, you should run updatemigrations before running your tests."
"<b> What will this URL pattern match? url(r'^\$', views.hello)</b><br><ul><li>a string beginning with the letter Ra string beginning with the letter R</li><li>an empty string at the server root</li><li>a string containing ^ and $a string containing ^ and $</li><li>an empty string anywhere in the URLan empty string anywhere in the URL</li></ul>",an empty string at the server root
<b> What is the typical order of an HTTP request/response cycle in Django?</b><br><ul><li>URL > view > template</li><li>form > model > view</li><li>template > view > model</li><li>URL > template > view > model</li></ul>,URL > view > template
<b> Django's class-based generic views provide which classes that implement common web development tasks?</b><br><ul><li>concrete</li><li>thread-safe</li><li>abstract</li><li>dynamic</li></ul>,abstract
"<b> Which skills do you need to maintain a set of Django templates?</b><br><ul><li>template syntax</li><li>HTML and template syntax</li><li>Python, HTML, and template syntax</li><li>Python and template syntax</li></ul>",HTML and template syntax
"<b> How would you define the relationship between a star and a constellation in a Django model?</b><br><ul><li><span>```<br>class Star(models.Model):<br>name = models.CharField(max_length=100)<br>class Constellation(models.Model):<br>stars = models.ManyToManyField(Star)<br>```<br></li><li><span>```<br>class Star(models.Model):<br>constellation = models.ForeignKey(Constellation, on_delete=models.CASCADE)<br>class Constellation(models.Model):<br>stars = models.ForeignKey(Star, on_delete=models.CASCADE)<br>```<br></li><li><span>```<br>class Star(models.Model):<br>name = models.CharField(max_length=100)<br>class Constellation(models.Model):<br>stars = models.OneToManyField(Star)<br>```<br></li><li><span>```<br>class Star(models.Model):<br>constellation = models.ManyToManyField(Constellation)<br>class Constellation(models.Model):<br>name = models.CharField(max_length=100)<br>```<br></li></ul>",<span>```<br>class Star(models.Model):<br>name = models.CharField(max_length=100)<br>class Constellation(models.Model):<br>stars = models.ManyToManyField(Star)<br>```<br>
"<b> Which is NOT a valid step in configuring your Django </b><br><ul><li>In your urls file, add a pattern that includes the name of your static directory.</li><li>Create a directory named static inside your app directory.</li><li>Create a directory named after the app under the static directory, and place static files inside.</li><li>Use the template tag {percentage mark load static percentage mark}.</li></ul>","In your urls file, add a pattern that includes the name of your static directory."
<b> What is the correct way to make a variable available to all of your templates?</b><br><ul><li>Set a session variable.</li><li>Use a global variable.</li><li>Add a dictionary to the template context.</li><li>Use RequestContext.</li></ul>,Use RequestContext.
