"<b> Which command adds members to the replica set from MongoDB shell?</b><br><ul><li>`rs.add(""<hostname>"")`</li><li>`replicaSetAdd(""<hostname>"")`</li><li>`rs.insert(""<hostname>"")`</li><li>`replica.add(""<hostname>"")`</li></ul>","`rs.add(""<hostname>"")`"
<b> Which MongoDB shell command should you use to back up a database?</b><br><ul><li>restore</li><li>backup</li><li>mongobackup</li><li>mongodump</li></ul>,mongodump
<b> Which shell query displays all citizens with an age greater than or equal to </b><br><ul><li>`db.citizens.select('WHERE age >= 21')`</li><li>`db.citizens.where('age >= 21')`</li><li>`db.citizens.find('WHERE age >= 21')`</li><li>`db.citizens.find({age: {$gte: 21}})`</li></ul>,`db.citizens.find({age: {$gte: 21}})`
<b> What does a MongoDB collection consist of?</b><br><ul><li>data</li><li>documents</li><li>fields</li><li>rows</li></ul>,documents
"<b> Given an ObjectId in `_id`, how do you get the time it was created?</b><br><ul><li>`getDateTime(_id)`</li><li>`_id.createDate()`</li><li>`_id.getTimestamp()`</li><li>`_id.getDateTime()`</li></ul>",`_id.getTimestamp()`
"<b> Given a cursor named myCursor, which command returns a boolean value?</b><br><ul><li>myCursor.hasNext()</li><li>myCursor.sort()</li><li>myCursor.next()</li><li>myCursor.find()</li></ul>",myCursor.hasNext()
<b> Which command returns a specific document in the user's collection?</b><br><ul><li>`db.users.find({_id: 1})`</li><li>`db.users.seek({_id: 1})`</li><li>`db.users.query({_id: 1})`</li><li>`db.query.users({_id: 1})`</li></ul>,`db.users.find({_id: 1})`
"<b> To import a JSON array into Mongo, what flags are needed with MongoDBimport?</b><br><ul><li>`--type jsonArray`</li><li>`--json`</li><li>`--type json`</li><li>`--jsonArray`</li></ul>",`--jsonArray`
<b> Choose the shell command that connects to a MongoDB database.</b><br><ul><li>mongo</li><li>mongod</li><li>mongoconnect</li><li>dbconnect</li></ul>,mongo
"<b> In the MongoDB shell, how can you tell if an index was used with a query?</b><br><ul><li>db.customers.find({lastName: 'smith'}).explain()</li><li>db.customers.find({lastName: 'smith'}).perf()</li><li>db.customers.find({lastName: 'smith'}).plan()</li><li>db.customers.find({lastName: 'smith'}).usedIndex()</li></ul>",db.customers.find({lastName: 'smith'}).explain()
<b> Suppose your aggregation pipeline terminated with an exception referring to exceeded memory limit. What is the best way to resolve the issue?</b><br><ul><li>Set useMemory to twice amount indicated in exception.</li><li>Switch a 64 bit instance of MongoDB.</li><li>Increase the memory of the MongoDB server.</li><li>Set allowDiskUse to true.</li></ul>,Set allowDiskUse to true.
"<b> What is the recommended way to delete a user?</b><br><ul><li>db.deleteUser(""user"")</li><li>db.removeUser(""user"") DEPRECATED</li><li>db.remove(""user"")</li><li>db.dropUser(""user"")</li></ul>","db.dropUser(""user"")"
"<b> What the primary database in a replica set fails, when does failover begin?</b><br><ul><li>once the primary has been down for 10 minutes</li><li>once the primary reboots</li><li>immediately</li><li>after the administrator reboots the primary</li></ul>",immediately
<b> What is the correct option to set up Kerberos when starting MongoDBd?</b><br><ul><li>`--setParameter authenticationMechanisms=GSSAPI`</li><li>`--setAuthentication=GSSAPI`</li><li>`--setParam auth=K`</li><li>`--setAuth method=Kerberos`</li></ul>,`--setParameter authenticationMechanisms=GSSAPI`
<b> What is the purpose of an arbiter in a replica set?</b><br><ul><li>It monitors replica set and sends email in case of failure</li><li>It casts the tie-breaking vote in an election.</li><li>It holds a backup copy of the database.</li><li>It reboots the failed server.</li></ul>,It casts the tie-breaking vote in an election.
